date,fips,pop_dens,cumul_death_rate,death_rte,gub,day
2021-10-01,1001,74.0833391777866,20.482737360966393,0.6684648750393307,0,0
2021-10-02,1001,69.43816107177186,21.127981233543604,1.0054110302204176,0,1
2021-10-03,1001,70.58456171607568,21.84239084389942,0.7367377416655401,0,2
2021-10-04,1001,73.4955002999279,20.91573168362861,0.37784431045816114,0,3
2021-10-05,1001,70.08335111714788,20.879137758865674,0.6484250571816156,0,4
2021-10-06,1001,72.64418119075704,22.178688789499283,0.43361627115587287,0,5
2021-10-07,1001,72.89819404509446,18.594068042503594,0.21681948658484262,0,6
2021-10-08,1001,72.23557440101142,21.486103640754774,0.6815289862875098,0,7
2021-10-09,1001,75.70603622246905,22.116367213896748,0.548410295996531,0,8
2021-10-10,1001,69.94494252566572,22.336724851361,0.5258794715593463,0,9
2021-10-11,1001,72.41813028689047,22.82558422611809,0.6173122505189935,0,10
2021-10-12,1001,72.46297295994418,23.487294402003773,0.5674085160449288,0,11
2021-10-13,1001,74.4187732175042,18.083827379774235,0.8727080952876876,0,12
2021-10-14,1001,72.55765887708891,22.799547235893144,0.025312363425632145,0,13
2021-10-15,1001,68.63472098970949,24.71540455818243,0.0,0,14
2021-10-16,1001,74.00208824010208,22.1245601960793,0.6574748880952165,0,15
2021-10-17,1001,71.63581852182077,21.05186787813712,0.18478343226117422,0,16
2021-10-18,1001,73.45667402769475,24.21365249747788,0.0,0,17
2021-10-19,1001,71.3925752629681,18.972107140409296,1.3352363446807478,0,18
2021-10-20,1001,70.7036096238607,20.503966645597625,0.5426606995922059,0,19
2021-10-21,1001,71.15701042872472,24.996729521993412,0.2542692469534181,0,20
2021-10-22,1001,69.7243409031129,24.044907945002155,0.2346856657494965,0,21
2021-10-23,1001,75.03611939011867,25.669211336543828,0.4427494425961641,0,22
2021-10-24,1001,74.12276935549392,23.105554624359595,0.24721560750937385,0,23
2021-10-25,1001,71.84919701068355,19.62659131870261,0.597256137873916,0,24
2021-10-26,1001,68.92235235010132,24.06057168261238,0.8975292928544804,0,25
2021-10-27,1001,72.30985529145576,21.45747722727558,0.3757774999341734,0,26
2021-10-28,1001,73.66627157142308,22.155999904126382,0.2816733626602692,0,27
2021-10-29,1001,71.57862783097747,23.138019072080283,0.8338107278693528,0,28
2021-10-30,1001,67.0464807968594,25.362414018269714,1.0356777419000176,0,29
2021-10-31,1001,72.98136115954672,21.997430752745796,0.46560585913970826,0,30
2021-11-01,1001,71.84560432507458,21.880666106546848,0.672478375358414,0,31
2021-11-02,1001,72.31832567596287,21.182817395137114,0.6696969141793192,0,32
2021-11-03,1001,70.85166366811397,24.65444998717079,0.3349919054776741,0,33
2021-11-04,1001,76.50558425198005,20.36033893264747,0.5839962082253154,0,34
2021-11-05,1001,73.55260977199377,25.686408870408137,0.24806211403479278,0,35
2021-11-06,1001,70.39822697611982,23.47522836615541,0.24846523841756835,1,36
2021-11-07,1001,71.07271137108879,18.717357656334503,0.4675217625126173,0,37
2021-11-08,1001,72.17585069776203,22.844109227367394,0.4242906612445511,0,38
